
name                                          kind      url                                          
----                                          ----      ---                                          
Identification                                EntitySet Identification                               
RbacSecuredObject                             EntitySet RbacSecuredObject                            
ScheduleMethods                               EntitySet ScheduleMethods                              
DeviceMethods                                 EntitySet DeviceMethods                                
Advertisement                                 EntitySet Advertisement                                
DistributionPoint                             EntitySet DistributionPoint                            
AllDistributionPoint                          EntitySet AllDistributionPoint                         
DistributionPointInfoBase                     EntitySet DistributionPointInfoBase                    
DistributionPointInfo                         EntitySet DistributionPointInfo                        
MigrationDP                                   EntitySet MigrationDP                                  
DistributionPointDriveInfo                    EntitySet DistributionPointDriveInfo                   
DistributionJob                               EntitySet DistributionJob                              
PackageAccessByUsers                          EntitySet PackageAccessByUsers                         
PackageBaseclass                              EntitySet PackageBaseclass                             
Package                                       EntitySet Package                                      
ImagePackage                                  EntitySet ImagePackage                                 
VhdPackage                                    EntitySet VhdPackage                                   
OperatingSystemInstallPackage                 EntitySet OperatingSystemInstallPackage                
LegacyImagePackage                            EntitySet LegacyImagePackage                           
BootImagePackage                              EntitySet BootImagePackage                             
TaskSequencePackage                           EntitySet TaskSequencePackage                          
DriverPackage                                 EntitySet DriverPackage                                
SoftwareUpdatesPackage                        EntitySet SoftwareUpdatesPackage                       
ContentPackage                                EntitySet ContentPackage                               
DeviceSettingPackage                          EntitySet DeviceSettingPackage                         
CIContentPackage                              EntitySet CIContentPackage                             
Content                                       EntitySet Content                                      
Program                                       EntitySet Program                                      
PDF_Package                                   EntitySet PDF_Package                                  
PDF_Program                                   EntitySet PDF_Program                                  
SystemResourceList                            EntitySet SystemResourceList                           
DistributionPointGroup                        EntitySet DistributionPointGroup                       
DPGroupMembers                                EntitySet DPGroupMembers                               
DPGroupPackages                               EntitySet DPGroupPackages                              
DPGroupCollections                            EntitySet DPGroupCollections                           
AzureService                                  EntitySet AzureService                                 
Collection                                    EntitySet Collection                                   
OMSCollection                                 EntitySet OMSCollection                                
FullCollectionMembership                      EntitySet FullCollectionMembership                     
DirFullCollMem                                EntitySet DirFullCollMem                               
CollectionDependencies                        EntitySet CollectionDependencies                       
CollectionSettings                            EntitySet CollectionSettings                           
ExcludedMachineNetBIOSName                    EntitySet ExcludedMachineNetBIOSName                   
BootImagePackage_DriverRef                    EntitySet BootImagePackage_DriverRef                   
Query                                         EntitySet Query                                        
